mem_no	last_name	first_name	gd	birth_dt	entr_dt	grade	sign_up_ch
18750	고	찬호	M	1973-10-23	2013-10-02	BRONZE	03
18770	전	희재	F	1974-01-22	2011-02-24	BRONZE	03
18402	노	진	F	1974-01-26	2012-08-18	BRONZE	03
18386	유	진서	M	1974-03-08	2013-08-02	BRONZE	01
14930	이	지원	F	1974-04-08	2011-04-18	BRONZE	07
18727	임	재욱	M	1974-11-08	2012-09-14	BRONZE	06
18506	전	나라	F	1975-01-04	2013-02-17	BRONZE	01
18550	남	성찬	M	1975-01-08	2012-10-17	BRONZE	02
18714	성	상혁	M	1975-01-19	2012-04-23	BRONZE	06
18582	서	서빈	M	1975-01-19	2013-08-17	BRONZE	07
18712	백	하현	F	1975-02-01	2011-08-25	BRONZE	03
18792	남	세미	F	1975-07-08	2011-05-02	BRONZE	01
18657	남	유솔	F	1975-09-28	2011-05-04	BRONZE	01
18298	장	유안	F	1975-11-23	2011-06-07	BRONZE	01
18713	곽	성욱	M	1975-12-28	2012-04-21	BRONZE	03
18721	유	강희	F	1976-04-28	2011-08-24	BRONZE	01
18589	송	진성	M	1976-04-28	2013-10-27	BRONZE	01
18707	노	재환	M	1976-05-03	2012-06-11	BRONZE	01
18773	유	민송	F	1976-05-20	2011-09-14	BRONZE	03
18719	여	호윤	M	1976-05-28	2011-07-27	BRONZE	01
14220	김	로하	M	1976-05-31	2013-11-21	BRONZE	01
18667	송	민욱	M	1976-06-01	2012-06-20	BRONZE	01
18729	오	연수	M	1976-07-19	2011-06-08	BRONZE	01
18597	남	설희	F	1976-07-19	2013-04-16	BRONZE	01
18793	윤	태빈	M	1977-01-15	2013-11-01	BRONZE	03
18502	권	유담	F	1977-04-22	2012-11-22	BRONZE	01
18697	송	로은	F	1977-10-22	2013-11-20	BRONZE	03
18735	권	결	M	1977-12-15	2011-06-16	BRONZE	03
18650	임	선재	M	1978-07-15	2013-08-12	BRONZE	01
18673	성	예안	F	1978-08-22	2012-12-10	BRONZE	01
18660	노	보은	F	1979-03-03	2013-06-24	BRONZE	01
18788	여	지현	M	1979-07-03	2012-02-20	BRONZE	03
18370	손	민결	M	1980-05-03	2011-06-15	BRONZE	01
18705	양	효리	F	1981-01-03	2011-11-10	BRONZE	01
18708	배	지빈	F	1981-01-30	2012-02-05	BRONZE	03
18698	전	현희	F	1981-02-03	2011-08-04	BRONZE	03
18566	성	우석	M	1981-02-03	2011-06-19	BRONZE	03
18699	남	지헌	M	1981-02-07	2011-01-24	BRONZE	03
18672	고	한별	M	1981-02-08	2011-06-21	BRONZE	03
18732	서	준환	M	1981-02-20	2012-03-11	BRONZE	03
13487	김	세나	F	1981-03-22	2013-02-25	BRONZE	06
18498	오	세하	F	1981-05-22	2011-06-14	BRONZE	01
18585	배	도현	F	1981-05-22	2011-03-23	BRONZE	03
18486	윤	주성	M	1981-06-03	2012-11-02	BRONZE	03
13946	김	종원	M	1982-07-03	2011-07-07	BRONZE	01
18751	임	소빈	F	1982-07-19	2012-11-16	BRONZE	01
18619	여	루나	F	1982-07-19	2012-01-12	BRONZE	01
18730	정	선하	F	1982-09-22	2013-03-29	BRONZE	03
18778	손	제니	F	1982-09-30	2011-08-09	BRONZE	03
18723	남	율리	F	1982-10-03	2013-02-11	BRONZE	03
18745	여	제나	F	1982-10-31	2012-12-11	BRONZE	01
18613	노	태연	M	1982-10-31	2011-08-31	BRONZE	01
18762	유	동주	M	1982-11-03	2011-02-13	BRONZE	01
18374	배	영우	M	1982-11-15	2013-08-09	BRONZE	03
18450	양	태원	M	1982-11-17	2013-07-03	BRONZE	03
18422	임	우혁	M	1982-11-30	2012-08-21	BRONZE	01
18530	양	연후	M	1983-01-22	2011-03-13	BRONZE	01
18662	권	승연	M	1983-01-22	2011-04-17	BRONZE	01
18753	양	종혁	M	1983-02-03	2013-03-13	BRONZE	03
18680	우	가령	F	1983-03-18	2013-07-21	BRONZE	03
18694	권	라현	F	1983-03-30	2011-04-18	BRONZE	01
18678	배	준모	M	1983-03-31	2011-05-11	BRONZE	01
18744	우	서온	F	1983-04-21	2011-12-17	BRONZE	01
18749	장	윤선	F	1983-04-22	2012-07-08	BRONZE	01
18709	정	민율	M	1983-05-22	2013-11-03	BRONZE	03
18366	문	원우	M	1983-05-23	2011-02-11	BRONZE	01
18658	서	동원	M	1983-05-30	2013-01-26	BRONZE	01
18526	고	시영	M	1983-05-30	2011-12-18	BRONZE	01
18338	오	도준	M	1983-05-31	2012-05-02	BRONZE	01
18687	장	호연	F	1983-06-11	2012-12-27	BRONZE	01
18330	문	태리	F	1983-08-14	2013-11-30	BRONZE	03
18703	고	재영	F	1984-01-03	2013-10-08	BRONZE	07
18574	손	현경	F	1984-02-29	2013-08-06	BRONZE	02
18706	손	시호	F	1984-02-29	2011-01-21	BRONZE	03
18306	유	지웅	M	1984-04-03	2012-09-05	BRONZE	06
18334	손	희수	F	1984-05-09	2012-12-18	BRONZE	03
18784	성	재빈	M	1984-10-04	2011-05-03	BRONZE	01
18454	문	태인	F	1984-12-31	2013-07-12	BRONZE	03
18542	우	에스더	F	1985-01-30	2013-08-03	BRONZE	03
18674	문	은결	M	1985-01-30	2012-11-16	BRONZE	03
18781	곽	성주	M	1985-02-05	2013-01-29	BRONZE	01
18668	전	도건	M	1985-02-22	2012-04-03	BRONZE	01
18494	윤	재연	F	1985-05-27	2013-11-11	BRONZE	03
18797	노	경원	F	1985-06-18	2011-08-19	BRONZE	01
18318	성	성원	M	1985-06-27	2012-02-07	BRONZE	03
18310	노	은준	M	1985-06-27	2013-01-29	BRONZE	03
18763	신	미진	F	1985-07-23	2013-03-30	BRONZE	01
18702	심	예건	M	1985-08-21	2013-02-15	BRONZE	01
18570	문	승하	F	1985-08-21	2012-11-09	BRONZE	01
18670	곽	아랑	F	1985-09-03	2012-09-21	BRONZE	03
18692	신	주이	F	1985-09-18	2012-08-19	BRONZE	03
18648	장	승범	M	1985-09-22	2011-03-04	BRONZE	03
18696	안	희은	F	1985-10-15	2011-05-27	BRONZE	01
18756	배	훈	M	1985-10-17	2011-10-23	BRONZE	03
18771	노	창현	M	1985-10-25	2011-08-29	BRONZE	03
18760	서	성현	F	1986-01-30	2013-08-02	BRONZE	03
18690	오	세정	F	1986-04-05	2013-07-04	BRONZE	05
18558	안	은송	F	1986-04-05	2011-02-14	BRONZE	06
18671	유	석준	M	1986-05-14	2011-06-13	BRONZE	07
18780	배	수미	F	1986-05-22	2013-08-09	BRONZE	06
18514	유	세라	F	1986-06-01	2013-10-08	BRONZE	05
18737	안	건하	M	1986-06-02	2013-09-24	BRONZE	03
18605	백	동민	M	1986-06-02	2012-04-04	BRONZE	04
18758	오	유선	F	1986-06-17	2011-10-23	BRONZE	05
18783	백	미래	F	1986-08-22	2011-08-26	BRONZE	02
18787	우	유신	M	1986-08-31	2013-11-21	BRONZE	02
18665	안	원	M	1986-11-30	2011-02-06	BRONZE	02
18522	백	안나	F	1987-02-04	2011-12-26	BRONZE	02
18684	백	현재	M	1987-03-01	2012-05-18	BRONZE	02
18764	권	우림	F	1987-03-21	2012-06-28	BRONZE	02
18446	고	준민	M	1987-05-29	2013-01-01	BRONZE	02
18681	여	영채	F	1987-10-14	2011-10-16	BRONZE	02
18578	장	지석	M	1988-03-14	2011-09-10	BRONZE	02
18410	우	태건	M	1988-03-31	2013-08-16	BRONZE	02
18766	남	혁준	M	1988-04-11	2011-10-22	BRONZE	02
18734	신	로이	M	1988-04-30	2011-08-02	BRONZE	02
18458	손	아리	F	1988-05-09	2013-06-21	BRONZE	02
18746	유	승규	M	1988-10-18	2013-04-23	BRONZE	01
18748	윤	예설	F	1989-02-10	2012-03-29	BRONZE	02
18659	심	송희	F	1989-02-18	2012-08-24	BRONZE	02
18718	우	경훈	M	1989-05-30	2013-11-07	BRONZE	01
18704	문	예율	F	1989-06-09	2013-01-26	BRONZE	02
18649	배	하림	F	1989-06-13	2011-01-19	BRONZE	02
18701	유	민교	F	1989-07-18	2011-03-26	BRONZE	04
18769	송	근영	F	1990-02-10	2012-10-27	BRONZE	02
18796	임	병준	M	1990-05-31	2013-05-05	BRONZE	05
18726	노	수희	F	1990-09-08	2013-08-05	BRONZE	07
18791	유	도담	F	1990-10-11	2011-03-28	BRONZE	02
18482	성	다미	F	1990-12-03	2012-05-19	BRONZE	02
18691	서	세이	F	1991-09-03	2012-10-31	BRONZE	02
13108	김	선아	F	1991-10-03	2013-07-23	BRONZE	02
18470	유	이레	F	1992-04-11	2013-03-02	BRONZE	02
14901	이	재석	M	1992-04-17	2013-02-10	BRONZE	05
17433	유	소하	F	1992-04-26	2013-11-12	BRONZE	02
18430	신	나예	F	1992-05-18	2011-10-10	BRONZE	04
18738	송	수찬	M	1992-05-24	2012-07-24	BRONZE	02
18615	성	사라	F	1992-06-28	2013-08-10	BRONZE	07
18688	임	라원	F	1992-07-08	2013-02-08	BRONZE	02
18725	장	진원	M	1992-08-18	2011-07-28	BRONZE	02
18593	유	상원	M	1992-08-18	2011-09-11	BRONZE	03
18768	안	승혜	F	1992-09-22	2011-06-12	BRONZE	06
18774	고	인혜	F	1993-05-03	2012-07-02	BRONZE	02
18398	유	하라	F	1993-05-21	2011-04-21	BRONZE	02
18442	전	상준	M	1993-06-03	2011-06-26	BRONZE	02
18609	유	기범	M	1994-02-15	2012-05-28	BRONZE	02
18767	심	해솔	M	1994-02-24	2011-11-28	BRONZE	02
18776	문	예성	F	1994-04-08	2011-05-21	BRONZE	06
18406	정	라율	F	1994-04-11	2011-09-26	BRONZE	01
18346	심	다솔	F	1994-04-14	2013-11-16	BRONZE	05
18755	손	윤혁	M	1994-08-16	2012-09-27	BRONZE	02
18777	양	채경	F	1994-08-31	2012-05-24	BRONZE	07
18478	정	가민	F	1995-02-05	2013-07-08	BRONZE	01
18742	전	형우	M	1995-02-15	2012-11-03	BRONZE	07
18652	백	샛별	F	1995-05-03	2011-10-16	BRONZE	02
18302	백	상우	M	1996-03-30	2012-07-28	BRONZE	07
18722	윤	태희	M	1996-10-03	2011-06-11	BRONZE	01
18631	우	태규	M	1997-01-01	2013-07-16	BRONZE	02
18632	여	영재	M	1997-01-02	2012-07-17	BRONZE	02
18633	서	은경	F	1997-01-03	2012-03-23	BRONZE	02
18634	신	나혜	F	1997-01-04	2012-10-17	BRONZE	03
18635	권	태영	F	1997-01-05	2011-08-09	BRONZE	04
18637	안	한결	F	1997-01-07	2011-03-22	BRONZE	06
18639	윤	주찬	M	1997-01-09	2011-06-16	BRONZE	01
18640	송	연두	F	1997-01-10	2012-03-22	BRONZE	02
18641	전	소진	F	1997-01-11	2013-08-05	BRONZE	03
18643	유	연정	F	1997-01-13	2013-10-08	BRONZE	05
18644	고	예하	F	1997-01-14	2012-07-06	BRONZE	06
18645	문	서후	F	1997-01-15	2012-08-08	BRONZE	07
18646	양	보연	F	1997-01-16	2012-12-26	BRONZE	02
18647	손	은희	F	1997-01-17	2011-12-02	BRONZE	02
18794	심	해온	F	1997-02-28	2011-11-07	BRONZE	04
18795	장	태완	M	1997-03-02	2011-11-07	BRONZE	01
18686	윤	승민	F	1997-03-05	2011-11-01	BRONZE	02
18554	서	세림	F	1997-03-05	2012-04-14	BRONZE	02
18614	정	한준	M	1988-10-18	2013-05-16	VVIP	01
19198	정	현비	F	1992-10-28	2013-01-18	VVIP	01
18543	허	정윤	M	1970-01-11	2013-10-29	VIP	03
18375	조	동규	M	1970-12-06	2012-10-25	VIP	01
18503	황	채령	F	1972-03-23	2012-02-13	VIP	03
18620	하	주하	M	1972-08-23	2011-09-30	VIP	01
18359	조	하원	F	1974-01-08	2012-11-30	VIP	03
18415	주	민진	F	1980-02-10	2012-01-31	VIP	03
18551	한	시언	F	1981-02-15	2013-04-14	VIP	03
18407	하	수경	F	1984-11-30	2011-08-18	VIP	03
18624	차	수환	M	1985-10-17	2013-05-06	VIP	03
18539	주	해리	F	1986-05-14	2012-03-08	VIP	05
18616	차	세민	F	1989-02-10	2013-01-10	VIP	03
18586	황	건율	M	1989-05-30	2012-06-08	VIP	02
18303	허	도하	M	1989-06-02	2012-04-18	VIP	02
18594	허	다나	F	1990-09-08	2012-03-20	VIP	03
18467	하	유안	M	1990-10-22	2012-10-13	VIP	02
18399	하	혜성	M	1990-12-11	2011-03-17	VIP	02
18323	홍	태이	F	1990-12-22	2013-04-02	VIP	02
18463	조	희정	F	1992-07-18	2013-06-07	VIP	06
19139	허	예선	F	1992-08-30	2012-06-16	VIP	05
19140	조	예승	M	1992-08-31	2011-09-27	VIP	07
19146	하	승원	F	1992-09-06	2013-06-02	VIP	02
19152	한	용진	M	1992-09-12	2013-04-09	VIP	01
19153	차	태현	F	1992-09-13	2012-10-27	VIP	02
19154	주	라연	F	1992-09-14	2012-02-19	VIP	03
19159	조	예송	F	1992-09-19	2013-02-17	VIP	02
19165	한	나나	F	1992-09-25	2012-11-20	VIP	02
19167	황	하겸	M	1992-09-27	2011-07-04	VIP	02
19171	황	규희	F	1992-10-01	2012-03-01	VIP	05
19178	홍	미연	F	1992-10-08	2011-07-26	VIP	07
19180	홍	민교	M	1992-10-10	2012-02-17	VIP	02
19188	조	현민	F	1992-10-18	2011-04-05	VIP	03
19190	허	은조	F	1992-10-20	2011-12-26	VIP	07
19199	하	연호	F	1992-10-29	2011-03-30	VIP	02
19202	조	도은	M	1992-11-01	2012-05-04	VIP	02
19205	차	규비	F	1992-11-04	2012-12-25	VIP	04
19206	허	주빈	M	1992-11-05	2013-07-07	VIP	05
19208	주	단우	F	1992-11-07	2013-07-24	VIP	07
19215	조	수은	F	1992-11-14	2011-05-27	VIP	02
19216	하	준섭	M	1992-11-15	2013-08-22	VIP	02
19220	차	선규	M	1992-11-19	2013-05-25	VIP	02
19221	주	태후	M	1992-11-20	2013-08-10	VIP	02
19225	한	애리	F	1992-11-24	2013-08-21	VIP	01
19228	조	단	M	1992-11-27	2011-06-15	VIP	04
19234	황	윤혜	F	1992-12-03	2013-11-22	VIP	02
19239	홍	래아	F	1992-12-08	2012-09-24	VIP	03
18443	홍	예현	F	1993-06-18	2012-02-22	VIP	02
18315	황	이나	F	1994-02-08	2011-05-11	VIP	02
18483	차	희윤	F	1997-03-04	2013-07-23	VIP	02
18355	송	도진	M	1970-01-09	2013-09-13	BRONZE	03
18351	곽	시하	F	1971-07-04	2013-10-19	BRONZE	03
18523	유	진욱	M	1972-01-04	2012-06-13	BRONZE	03
18479	여	호연	M	1973-01-19	2011-05-02	BRONZE	03
18575	여	상훈	M	1976-05-03	2011-08-23	BRONZE	01
12633	김	주연	F	1976-06-01	2013-08-30	BRONZE	01
18535	곽	태림	F	1976-06-01	2011-11-14	BRONZE	01
18427	오	보현	F	1976-07-23	2011-11-16	BRONZE	01
18579	임	기현	M	1976-08-23	2013-11-12	BRONZE	03
18495	장	아민	F	1978-01-22	2012-06-30	BRONZE	03
18379	안	이수	F	1980-01-03	2011-08-13	BRONZE	03
18583	신	지온	M	1980-01-22	2011-08-04	BRONZE	03
18471	성	환희	M	1980-04-22	2012-02-27	BRONZE	01
18419	장	희찬	M	1981-01-06	2013-12-13	BRONZE	01
18567	유	송이	F	1981-02-07	2012-09-17	BRONZE	03
18391	심	선호	M	1981-02-27	2011-04-04	BRONZE	03
13725	김	윤석	M	1981-04-22	2012-07-31	BRONZE	01
13238	김	승기	M	1982-08-03	2012-04-18	BRONZE	01
18598	문	유하	M	1982-09-22	2011-02-01	BRONZE	03
18491	여	지선	F	1982-10-13	2011-03-23	BRONZE	03
18547	윤	보람	F	1983-03-14	2012-08-20	BRONZE	03
18475	심	한솔	F	1983-04-01	2013-11-16	BRONZE	03
18499	서	세나	F	1983-04-19	2013-09-08	BRONZE	01
18423	장	초아	F	1983-05-30	2011-07-13	BRONZE	01
18555	신	채림	F	1983-06-11	2013-06-01	BRONZE	01
18571	양	보라	F	1984-01-03	2011-01-07	BRONZE	05
18435	안	정빈	F	1984-06-30	2011-03-22	BRONZE	01
18319	송	아율	F	1985-01-11	2011-03-06	BRONZE	03
18459	유	승헌	M	1985-05-23	2013-02-17	BRONZE	03
14555	김	윤민	M	1985-05-31	2013-07-27	BRONZE	01
18439	전	경은	F	1985-06-25	2013-09-28	BRONZE	03
18455	양	하선	F	1985-06-30	2013-12-22	BRONZE	03
18628	임	혜지	F	1986-01-30	2013-09-16	BRONZE	03
18507	신	건후	M	1986-02-18	2013-11-02	BRONZE	03
18331	장	현석	M	1986-02-28	2011-07-23	BRONZE	03
18395	백	예령	F	1986-05-07	2011-05-25	BRONZE	03
18339	서	서윤	M	1986-11-30	2013-03-24	BRONZE	02
18307	남	은혁	M	1987-05-14	2012-10-22	BRONZE	02
18602	심	효인	F	1988-04-30	2011-04-18	BRONZE	02
18327	유	하늬	F	1988-05-03	2012-04-03	BRONZE	02
18515	고	시유	F	1988-10-30	2013-06-28	BRONZE	02
18527	남	서유	F	1989-02-18	2013-04-21	BRONZE	01
18563	전	기쁨	F	1989-06-30	2011-02-28	BRONZE	02
18531	노	현	F	1989-07-08	2013-05-07	BRONZE	02
18431	서	성호	M	1990-08-29	2011-06-03	BRONZE	02
18311	신	혜나	F	1990-10-03	2011-03-06	BRONZE	02
18559	노	세민	M	1991-09-03	2013-04-07	BRONZE	02
17502	양	지안	F	1991-11-03	2012-11-22	BRONZE	02
16734	유	은후	F	1992-04-18	2012-07-10	BRONZE	06
14517	김	로빈	M	1992-04-27	2011-06-30	BRONZE	02
18606	정	로희	F	1992-05-24	2011-02-16	BRONZE	02
18519	손	서안	F	1992-06-23	2012-08-15	BRONZE	02
19138	백	나온	F	1992-08-29	2011-04-09	BRONZE	04
19141	유	승빈	F	1992-09-01	2012-04-29	BRONZE	02
19142	남	수예	F	1992-09-02	2012-08-28	BRONZE	03
19143	심	서림	F	1992-09-03	2011-12-13	BRONZE	05
19144	노	해주	F	1992-09-04	2011-08-14	BRONZE	07
19145	정	성주	F	1992-09-05	2012-11-26	BRONZE	02
19147	윤	성율	M	1992-09-07	2012-07-03	BRONZE	02
19148	장	대원	M	1992-09-08	2012-01-26	BRONZE	02
19149	곽	푸름	F	1992-09-09	2011-03-31	BRONZE	02
19150	임	우솔	M	1992-09-10	2013-04-25	BRONZE	02
19151	성	은총	F	1992-09-11	2012-11-08	BRONZE	02
19155	오	하원	M	1992-09-15	2012-06-14	BRONZE	04
19156	우	이설	F	1992-09-16	2012-06-03	BRONZE	05
19157	서	건형	M	1992-09-17	2011-07-10	BRONZE	06
19158	여	현수	F	1992-09-18	2012-09-27	BRONZE	07
19160	신	강윤	M	1992-09-20	2013-04-29	BRONZE	03
19161	윤	경아	F	1992-09-21	2011-10-19	BRONZE	04
19162	권	범서	M	1992-09-22	2012-10-17	BRONZE	02
19163	장	주언	F	1992-09-23	2011-08-03	BRONZE	02
19164	임	윤재	F	1992-09-24	2011-04-05	BRONZE	02
19166	오	솔지	F	1992-09-26	2013-07-27	BRONZE	02
19168	서	주예	F	1992-09-28	2012-07-18	BRONZE	01
19169	신	현선	F	1992-09-29	2012-06-12	BRONZE	02
19170	권	찬미	F	1992-09-30	2012-08-27	BRONZE	04
19172	안	태진	M	1992-10-02	2012-03-29	BRONZE	06
19173	송	제현	M	1992-10-03	2013-07-05	BRONZE	01
19174	안	다슬	F	1992-10-04	2013-11-01	BRONZE	03
19175	송	초연	F	1992-10-05	2011-12-25	BRONZE	04
19176	전	소혜	F	1992-10-06	2012-08-06	BRONZE	05
19177	전	혁진	M	1992-10-07	2011-09-01	BRONZE	06
19179	유	세리	F	1992-10-09	2012-05-22	BRONZE	02
19181	고	소린	F	1992-10-11	2013-01-14	BRONZE	02
19182	문	유원	F	1992-10-12	2012-08-08	BRONZE	02
19183	양	혜준	F	1992-10-13	2013-02-01	BRONZE	02
19184	손	단하	F	1992-10-14	2012-07-01	BRONZE	02
19185	유	서한	M	1992-10-15	2013-05-27	BRONZE	02
19186	고	영호	M	1992-10-16	2012-02-12	BRONZE	01
19187	배	한울	F	1992-10-17	2013-03-10	BRONZE	02
18343	유	송연	F	1992-10-18	2012-11-18	BRONZE	04
19189	백	승리	F	1992-10-19	2013-12-14	BRONZE	06
19191	유	그린	F	1992-10-21	2011-04-22	BRONZE	01
19192	문	채운	M	1992-10-22	2013-10-16	BRONZE	05
19193	남	성윤	F	1992-10-23	2012-06-04	BRONZE	07
19194	심	송하	F	1992-10-24	2013-04-15	BRONZE	02
19195	노	미영	F	1992-10-25	2011-10-09	BRONZE	02
19196	양	리한	M	1992-10-26	2011-04-09	BRONZE	02
19197	손	다민	M	1992-10-27	2012-09-25	BRONZE	02
19200	곽	솔아	F	1992-10-30	2013-12-24	BRONZE	02
19201	배	경현	M	1992-10-31	2012-02-01	BRONZE	02
19203	성	리사	F	1992-11-02	2012-06-02	BRONZE	02
19204	백	세환	M	1992-11-03	2012-01-05	BRONZE	03
19207	유	로하	M	1992-11-06	2012-12-30	BRONZE	06
19209	우	동희	F	1992-11-08	2012-09-04	BRONZE	01
19210	남	정운	M	1992-11-09	2011-04-22	BRONZE	02
19211	심	수인	M	1992-11-10	2013-01-10	BRONZE	03
19212	노	승엽	M	1992-11-11	2012-03-03	BRONZE	05
19213	여	승윤	F	1992-11-12	2012-12-18	BRONZE	06
19214	정	슬찬	M	1992-11-13	2011-12-20	BRONZE	07
19217	윤	미서	F	1992-11-16	2011-09-24	BRONZE	02
19218	곽	기찬	M	1992-11-17	2011-08-22	BRONZE	02
19219	성	태산	M	1992-11-18	2011-08-21	BRONZE	02
19222	장	영아	F	1992-11-21	2012-11-05	BRONZE	01
19223	임	민슬	F	1992-11-22	2012-06-29	BRONZE	03
19224	우	선민	M	1992-11-23	2012-10-01	BRONZE	07
19226	오	채우	F	1992-11-25	2012-06-21	BRONZE	02
19227	여	무진	M	1992-11-26	2013-09-11	BRONZE	03
19229	서	제희	F	1992-11-28	2013-08-23	BRONZE	05
19230	윤	범	M	1992-11-29	2013-07-27	BRONZE	06
19231	신	유비	F	1992-11-30	2011-01-04	BRONZE	02
19232	장	진규	M	1992-12-01	2011-11-15	BRONZE	02
19233	권	영지	F	1992-12-02	2011-04-27	BRONZE	02
19235	임	기태	M	1992-12-04	2012-12-31	BRONZE	02
19236	안	지솔	F	1992-12-05	2012-09-18	BRONZE	02
19237	송	아원	F	1992-12-06	2013-02-13	BRONZE	01
19238	전	수애	F	1992-12-07	2011-10-23	BRONZE	02
